,Job Title,Company,Location,Salary,Search Term,lower_sal_val,upper_sal_val,mean salary,median_bool,60_perc_bool,70_perc_bool,75_perc_bool,90_perc_bool,state
3317,"Data Scientist II, Sequencing",    Enterprise Select,"Pleasanton, CA 94588",120000,"Mountain View, CA",120000,120000,120000.0,True,False,False,False,False,['CA']
3433,Senior Machine Learning Data Scientist,        Workbridge Associates,"Pleasanton, CA 94588",200000,"Mountain View, CA",200000,200000,200000.0,True,True,True,True,True,['CA']
3443,STAFF DATA SCIENTIST / DEEP LEARNING,    TERADEEP INC.,"Campbell, CA",120000 - 160000,"Mountain View, CA",120000,160000,140000.0,True,True,False,False,False,['CA']
3446,Mid-Level Data Scientist,        Workbridge Associates,"Menlo Park, CA",200000,"Mountain View, CA",200000,200000,200000.0,True,True,True,True,True,['CA']
3471,Data Scientist - Growth Team (Healthcare Startup),        Jobspring Partners,"San Jose, CA 95113 (Downtown area)",130000 - 180000,"Mountain View, CA",130000,180000,155000.0,True,True,True,True,False,['CA']
3513,Quantitative Analyst,    Montgomery Assets,"Los Angeles, CA",97000,"El Segundo, CA",97000,97000,97000.0,False,False,False,False,False,['CA']
3526,Jr. Data Scientist,    FullDeck,"Los Angeles, CA",40000 - 60000,"El Segundo, CA",40000,60000,50000.0,False,False,False,False,False,['CA']
3549,"MEDICAL TECHNOLOGIST, DATA SYSTEMS",        Los Angeles County Department of Human Resources,"Los Angeles, CA",76804 - 100726,"El Segundo, CA",76804,100726,88765.0,False,False,False,False,False,['CA']
3554,scientist,    Liberos LLC,"Los Angeles, CA",50000,"El Segundo, CA",50000,50000,50000.0,False,False,False,False,False,['CA']
3560,Lead Data Scientist,    HERO.jobs,"Los Angeles, CA",160000,"El Segundo, CA",160000,160000,160000.0,True,True,True,True,False,['CA']
3567,Senior Data Scientist,    Elevano,"Los Angeles, CA",140000 - 180000,"El Segundo, CA",140000,180000,160000.0,True,True,True,True,False,['CA']
3581,Investigations &amp; Research Analyst,        Gavin de Becker &amp; Associates,"Beverly Hills, CA",40000 - 45000,"El Segundo, CA",40000,45000,42500.0,False,False,False,False,False,['CA']
3606,"Market Research Analyst, Automotive Electronics",    Parallel Partners,"Torrance, CA",60000 - 75000,"El Segundo, CA",60000,75000,67500.0,False,False,False,False,False,['CA']
3634,Data Scientist (Consumer Loans),    Lendmart,"Los Angeles, CA 90036",55000,"El Segundo, CA",55000,55000,55000.0,False,False,False,False,False,['CA']
3744,Data Entry &amp; Analysis Specialist,    FullDeck,"Los Angeles, CA",30000 - 45000,"El Segundo, CA",30000,45000,37500.0,False,False,False,False,False,['CA']
3749,Senior iOS Developer,        LT,"Los Angeles, CA",170000,"El Segundo, CA",170000,170000,170000.0,True,True,True,True,False,['CA']
3750,SUPERVISING CLINICAL LABORATORY SCIENTIST II,        Los Angeles County Department of Human Resources,"Los Angeles, CA",79884 - 104772,"El Segundo, CA",79884,104772,92328.0,False,False,False,False,False,['CA']
3755,Principal Data Scientist,    Harnham,"Los Angeles, CA",160000,"El Segundo, CA",160000,160000,160000.0,True,True,True,True,False,['CA']
3791,Research Scientist,        Arete Associates,"Northridge, CA 91324",100000 - 109000,"El Segundo, CA",100000,109000,104500.0,False,False,False,False,False,['CA']
3942,Computer Vision Data Scientist,    MACP Los Angeles,"Los Angeles, CA",185000,"El Segundo, CA",185000,185000,185000.0,True,True,True,True,True,['CA']
3997,Lead Android Developer,        LT,"Los Angeles, CA",190000,"El Segundo, CA",190000,190000,190000.0,True,True,True,True,True,['CA']
3999,LC/MS Clinical Laboratory Scientist,    Lighthouse Recruiting,"Pasadena, CA",80000 - 110000,"El Segundo, CA",80000,110000,95000.0,False,False,False,False,False,['CA']
4016,Data Scientist,    Workpop,"Santa Monica, CA",80000,"El Segundo, CA",80000,80000,80000.0,False,False,False,False,False,['CA']
4056,Statistical Analyst,    MbSolutions Inc,"Arlington, VA",80000,"Herndon, VA",80000,80000,80000.0,False,False,False,False,False,['VA']
4060,Data Scientist,        Workbridge Associates,"Washington, DC",100000 - 150000,"Herndon, VA",100000,150000,125000.0,True,False,False,False,False,['DC']
4070,Criminal Patronage Network (CPN) Research Analyst / Advisor,    Quiet Professionals LLC,"Reston, VA",180000,"Herndon, VA",180000,180000,180000.0,True,True,True,True,True,['VA']
4093,Data Scientist,"    Gunther Douglas, Inc.","Washington, DC",110000 - 140000,"Herndon, VA",110000,140000,125000.0,True,False,False,False,False,['DC']
4108,Data &amp; Research Analyst,    The Council,"Washington, DC",80000 - 85000,"Herndon, VA",80000,85000,82500.0,False,False,False,False,False,['DC']
4113,Senior Research &amp; Policy Analyst,    Population Action International (PAI),"Washington, DC",65000 - 80000,"Herndon, VA",65000,80000,72500.0,False,False,False,False,False,['DC']
4175,Research Analyst,    American Society for Engineering Education (ASEE),"Washington, DC 20036 (Downtown area)",50000,"Herndon, VA",50000,50000,50000.0,False,False,False,False,False,['DC']
4196,Senior Product Manager,    Catalist,"Washington, DC",70000 - 100000,"Herndon, VA",70000,100000,85000.0,False,False,False,False,False,['DC']
4206,NETWORK OPERATIONS RESEARCH ANALYST EAS,        United States Postal Service,"Washington, DC",66829 - 110664,"Herndon, VA",66829,110664,88746.5,False,False,False,False,False,['DC']
4212,Credit Risk Transfer Research Analyst,    iiTS,"Washington, DC 20005 (Logan Circle area)",140000,"Herndon, VA",140000,140000,140000.0,True,True,False,False,False,['DC']
4299,Analytic Methodologist,        Central Intelligence Agency,"Washington, DC",53088 - 92814,"Herndon, VA",53088,92814,72951.0,False,False,False,False,False,['DC']
4322,Research Development Engineer/Scientist,    TULK llc,"Alexandria, VA",160000,"Herndon, VA",160000,160000,160000.0,True,True,True,True,False,['VA']
4368,Software Engineer,    FlashX,"Silver Spring, MD",80000 - 120000,"Herndon, VA",80000,120000,100000.0,False,False,False,False,False,['MD']
4373,Machine Learning Data Engineer,        Jobspring Partners,"Washington, DC",100000 - 150000,"Herndon, VA",100000,150000,125000.0,True,False,False,False,False,['DC']
4447,Post-Doctoral Scientist,        University of Maryland,"College Park, MD",40000 - 45000,"Herndon, VA",40000,45000,42500.0,False,False,False,False,False,['MD']
4506,Data Scientist (Math background),        Jobspring Partners,"Washington, DC",150000 - 250000,"Herndon, VA",150000,250000,200000.0,True,True,True,True,True,['DC']
4544,"Senior Software Engineer (Data Engineer, IoT)",        Jobspring Partners,"Washington, DC",110000 - 160000,"Herndon, VA",110000,160000,135000.0,True,True,False,False,False,['DC']
4563,Front End Developer,    FlashX,"Silver Spring, MD",75000 - 105000,"Herndon, VA",75000,105000,90000.0,False,False,False,False,False,['MD']
